"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","Get user me","LMS service","Sat Jun 06 11:22:24 UTC 2026","passed","Sat Jun 06 11:22:24 UTC 2026","Get entity","Users","",""
"","26","Get exercise","LMS service","Sat Jun 06 11:22:19 UTC 2026","passed","Sat Jun 06 11:22:19 UTC 2026","Get entity","Exercises","",""
"","26","Create course","LMS service","Sat Jun 06 11:22:17 UTC 2026","passed","Sat Jun 06 11:22:17 UTC 2026","Create entity","Courses","",""
"","16","Create file with empty directory","LMS service","Sat Jun 06 11:22:23 UTC 2026","passed","Sat Jun 06 11:22:23 UTC 2026","Validate entity","Files","",""
"","267","Create file with empty filename","LMS service","Sat Jun 06 11:22:23 UTC 2026","passed","Sat Jun 06 11:22:23 UTC 2026","Validate entity","Files","",""
"","18","Update exercise","LMS service","Sat Jun 06 11:22:19 UTC 2026","passed","Sat Jun 06 11:22:19 UTC 2026","Update entity","Exercises","",""
"","553","Login with correct email and password","LMS service","Sat Jun 06 11:22:15 UTC 2026","passed","Sat Jun 06 11:22:16 UTC 2026","Create entity","Authentication","",""
"","31","Update course","LMS service","Sat Jun 06 11:22:17 UTC 2026","passed","Sat Jun 06 11:22:17 UTC 2026","Update entity","Courses","",""
"","20","Delete file","LMS service","Sat Jun 06 11:22:22 UTC 2026","passed","Sat Jun 06 11:22:22 UTC 2026","Delete entity","Files","",""
"","58","Create file","LMS service","Sat Jun 06 11:22:20 UTC 2026","passed","Sat Jun 06 11:22:21 UTC 2026","Create entity","Files","",""
"","24","Create exercise","LMS service","Sat Jun 06 11:22:18 UTC 2026","passed","Sat Jun 06 11:22:18 UTC 2026","Create entity","Exercises","",""
"","536","Create user","LMS service","Sat Jun 06 11:22:23 UTC 2026","passed","Sat Jun 06 11:22:23 UTC 2026","Create entity","Users","",""
"","13","Get file with incorrect file id","LMS service","Sat Jun 06 11:22:24 UTC 2026","passed","Sat Jun 06 11:22:24 UTC 2026","Validate entity","Files","",""
"","10","Get exercises","LMS service","Sat Jun 06 11:22:18 UTC 2026","passed","Sat Jun 06 11:22:18 UTC 2026","Get entities","Exercises","",""
"","12","Get file","LMS service","Sat Jun 06 11:22:22 UTC 2026","passed","Sat Jun 06 11:22:22 UTC 2026","Get entity","Files","",""
"","24","Delete exercise","LMS service","Sat Jun 06 11:22:20 UTC 2026","passed","Sat Jun 06 11:22:21 UTC 2026","Delete entity","Exercises","",""
"","25","Get courses","LMS service","Sat Jun 06 11:22:16 UTC 2026","passed","Sat Jun 06 11:22:16 UTC 2026","Get entities","Courses","",""
